PetID,Name,Kind,Gender,Age,OwnerID
J6-8562,Blackie,Dog,male,11,5168
Q0-2001,Roomba,Cat,male,9,5508
M0-2904,Simba,Cat,male,1,3086
R3-7551,Keller,Parrot,female,2,7908
P2-7342,Cuddles,Dog,male,13,4378
X0-8765,Vuitton,Parrot,female,11,7581
Z4-5652,Priya,Cat,female,7,7343
Z4-4045,Simba,Cat,male,0,2700
M8-7852,Cookie,Cat,female,8,7606
J2-3320,Heisenberg,Dog,male,3,1319
T2-2142,Stowe,Cat,female,15,1132
U4-9376,Scout,Dog,female,2,7846
H8-1429,Lily,Dog,female,3,7846
X8-9212,Danger,Dog,male,5,3661
G4-8096,Danger,Dog,male,9,9037
S4-9578,Scooter,Dog,male,9,9850
H8-8856,Bandit,Parrot,male,11,6102
F6-5391,Cookie,Cat,female,9,5508
J0-7893,Crockett,Dog,male,12,1334
Q0-3593,Oakley,Parrot,female,4,4989
O8-2501,Bandit,Parrot,male,5,1899
T0-5705,Biscuit,Dog,female,5,5833
Q5-5872,Taz,Dog,male,12,2103
Z6-3226,Simba,Cat,male,11,4793
U4-5113,Tiger,Cat,male,12,7772
X8-8611,Schwarzkopf,Dog,male,4,6731
P0-1725,Lily,Dog,female,0,2419
N6-7350,Biscuit,Dog,female,8,3518
Q2-3642,Thatcher,Parrot,female,8,8143
G0-7675,Taz,Dog,male,4,8133
U2-4205,Cuddles,Dog,male,5,3615
L0-6660,Cookie,Dog,male,9,5806
S4-0789,Biscuit,Dog,female,10,7101
N7-6805,Enyo,Cat,female,12,1202
J1-6366,Bruce,Dog,male,3,8316
Q9-1565,Scout,Dog,female,14,1766
L8-9022,Bright,Dog,male,7,7085
P9-6519,Cookie,Cat,female,6,1653
G0-8531,Sojourner,Cat,female,0,8830
O5-2472,Bright,Dog,male,12,4185
X7-2632,Maripol,Parrot,female,7,9614
O3-1895,Candy,Dog,female,3,8133
N8-0553,Tiger,Dog,male,15,7393
S4-4013,Pip,Dog,male,3,7484
Q4-9479,Candy,Dog,female,9,4408
V2-4634,Goethe,Dog,male,12,2063
L4-9973,Houdini,Dog,male,5,2967
O1-7229,Dexter,Parrot,male,10,7484
V4-6172,Sarosh,Cat,female,9,7359
L4-6292,Bright,Dog,male,13,3089
R7-4835,Cookie,Dog,male,12,5215
U0-5987,Ebenezer,Cat,male,0,5508
L4-2594,Newcastle,Cat,male,6,6405
T8-1754,Daisy,Dog,female,13,9850
U4-6674,Biscuit,Dog,female,1,3663
W7-6372,Daisy,Dog,female,8,3644
L4-4030,Bruce,Dog,male,1,5502
J8-7429,Bonaparte,Dog,male,4,8215
I7-9550,Angel,Dog,female,12,3089
O8-0027,Scooter,Dog,male,7,5737
W8-5750,Simba,Cat,male,15,6102
F2-3235,Danger,Dog,male,8,1306
I6-9459,Biscuit,Dog,female,4,6049
O6-3123,Biscuit,Dog,female,2,6194
M2-1131,Rumba,Cat,male,8,1915
R4-6131,Biscuit,Dog,female,5,2863
I2-7926,Dior,Parrot,female,4,9900
Q8-8753,Danger,Dog,male,7,6157
W9-8307,Lexie,Dog,female,1,5207
S1-2243,Cuddles,Dog,male,2,5447
M4-9675,Jeep,Cat,male,6,6923
Q0-8904,Bright,Dog,male,1,4110
T0-3277,Humbert,Cat,male,12,8133
V5-2342,Jake,Dog,male,8,9039
P9-3625,Cuddles,Dog,male,14,7579
H2-8586,Antigone,Cat,female,8,7663
P7-2443,Rumba,Cat,male,10,7219
G6-6501,Jake,Cat,male,2,3089
K4-5012,Natacha,Parrot,female,11,2755
J2-4382,Dexter,Parrot,male,4,7261
G9-0817,Kashi,Cat,male,5,2722
K0-8177,Bruce,Dog,male,12,2809
U2-7207,Daisy,Dog,female,6,7023
S4-2254,Draper,Cat,male,3,8619
P1-2578,Tiger,Cat,male,14,3034
V7-6771,Daisy,Dog,female,4,3245
Q8-3145,Peanut,Dog,female,13,5796
L4-4205,Rumba,Cat,male,5,1312
S4-1063,Bruce,Dog,male,0,3691
L2-1834,Collette,Dog,female,4,1306
L8-0046,Rumba,Cat,male,7,9828
U6-4890,Blackie,Dog,male,6,1546
X6-4876,Brandy,Cat,female,3,6406
F1-1855,Bandit,Parrot,male,2,9604
Z8-4419,Scooter,Dog,male,3,4464
U8-6473,Biscuit,Dog,female,3,1070
I5-4893,Cookie,Cat,female,3,7340
Q8-0954,Lakshmi,Cat,female,7,9385
N0-9539,Swiffer,Cat,male,14,9365
S5-5938,Taz,Dog,male,6,9427
